ECG	Heart Rate
-0.0765991	66.5927
-0.0750732	66.5927
-0.072937	66.5927
-0.071106	66.5927
-0.0692749	66.5927
-0.067749	66.5927
-0.0665283	66.5927
-0.0656128	66.5927
-0.0646973	66.5927
-0.0640869	66.5927
-0.0637817	66.5927
-0.0637817	66.5927
-0.0643921	66.5927
-0.0653076	66.5927
-0.0662231	66.5927
-0.0671387	66.5927
-0.0683594	66.5927
-0.0695801	66.5927
-0.0714111	66.5927
-0.0735474	66.5927
-0.0765991	66.5927
-0.0796509	66.5927
-0.0823975	66.5927
-0.085144	66.5927
-0.0875854	66.5927
-0.0891113	66.5927
-0.0900269	66.5927
-0.090332	66.5927
-0.0900269	66.5927
-0.0897217	66.5927
-0.0897217	66.5927
-0.0897217	66.5927
-0.0900269	66.5927
-0.0900269	66.5927
-0.0900269	66.5927
-0.0900269	66.5927
-0.090332	66.5927
-0.0906372	66.5927
-0.0906372	66.5927
-0.0906372	66.5927
-0.090332	66.5927
-0.0445557	0
-0.0473022	0
-0.0500488	0
-0.0527954	0
-0.0558472	0
-0.0592041	0
-0.0628662	0
-0.0665283	0
-0.0698853	0
-0.0732422	0
-0.0765991	0
-0.0796509	0
-0.0823975	0
-0.0848389	0
-0.0872803	0
-0.0897217	0
-0.0921631	0
-0.0946045	0
-0.0967407	0
-0.098877	0
-0.100403	0
-0.101929	0
-0.103455	0
-0.105286	0
-0.106812	0
-0.108032	0
-0.109253	0
-0.109863	0
-0.110168	0
-0.110474	0
-0.110779	0
-0.110779	0
-0.110779	0
-0.110474	0
-0.110168	0
-0.109863	0
-0.109253	0
-0.108948	0
-0.108643	0
-0.108032	0
-0.107422	0
-0.106812	0
-0.105896	0
-0.10498	0
-0.10376	0
-0.102539	0
-0.101624	0
-0.101013	0
-0.101013	0
-0.101318	0
-0.101929	0
-0.102539	0
-0.102844	0
-0.103455	0
-0.10376	0
-0.10376	0
-0.103149	0
-0.102234	0
-0.100708	0
-0.0985718	0
-0.0958252	0
-0.0930786	0
-0.0900269	0
-0.0866699	0
-0.0836182	0
-0.0802612	0
-0.0765991	0
-0.0726318	0
-0.0686646	0
-0.0650024	0
-0.0616455	0
-0.0582886	0
-0.055542	0
-0.0527954	0
-0.050354	0
-0.0485229	0
-0.0476074	0
-0.0469971	0
-0.0466919	0
-0.0460815	0
-0.0457764	0
-0.0448608	0
-0.0439453	0
-0.0427246	0
-0.0408936	0
-0.0390625	0
-0.0366211	0
-0.0338745	0
-0.0311279	0
-0.0280762	0
-0.0250244	0
-0.0219727	0
-0.0183105	0
-0.0146484	0
-0.0109863	0
-0.00701904	0
-0.00274658	0
0.000915527	0
0.00427246	0
0.00762939	0
0.010376	0
0.0131226	0
0.015564	0
0.017395	0
0.0192261	0
0.0201416	0
0.020752	0
0.0201416	0
0.0192261	0
0.0180054	0
0.0167847	0
0.015564	0
0.0143433	0
0.0128174	0
0.0109863	0
0.0088501	0
0.00610352	0
0.00305176	0
-0.000610352	0
-0.00457764	0
-0.00915527	0
-0.0140381	0
-0.0198364	0
-0.0259399	0
-0.032959	0
-0.0405884	0
-0.0491333	0
-0.0585938	0
-0.0683594	0
-0.0787354	0
-0.0897217	0
-0.100708	0
-0.112	0
-0.123596	0
-0.135193	0
-0.14679	0
-0.158081	0
-0.169373	0
-0.180054	0
-0.19043	0
-0.19989	0
-0.209045	0
-0.217285	0
-0.224609	0
-0.231018	0
-0.236206	0
-0.240784	0
-0.244141	0
-0.246277	0
-0.247803	0
-0.248413	0
-0.248718	0
-0.248718	0
-0.248108	0
-0.247192	0
-0.246277	0
-0.245361	0
-0.243835	0
-0.24231	0
-0.240479	0
-0.238647	0
-0.237122	0
-0.236206	0
-0.235291	0
-0.234985	0
-0.234985	0
-0.23468	0
-0.234375	0
-0.23407	0
-0.233459	0
-0.232544	0
-0.231934	0
-0.231628	0
-0.231323	0
-0.231628	0
-0.231934	0
-0.232544	0
-0.232849	0
-0.233154	0
-0.233765	0
-0.23468	0
-0.236511	0
-0.239258	0
-0.243225	0
-0.248413	0
-0.254822	0
-0.262451	0
-0.270996	0
-0.280457	0
-0.291138	0
-0.302124	0
-0.31311	0
-0.323792	0
-0.333862	0
-0.343628	0
-0.352783	0
-0.361328	0
-0.368652	0
-0.374451	0
-0.377808	0
-0.379028	0
-0.376892	0
-0.371094	0
-0.361023	0
-0.346069	0
-0.325928	0
-0.300293	0
-0.269165	0
-0.232544	0
-0.19043	0
-0.143127	0
-0.0900269	0
-0.0317383	0
0.0323486	0
0.102234	0
0.177002	0
0.256042	0
0.337219	0
0.419312	0
0.499878	0
0.577087	0
0.649109	0
0.713806	0
0.769653	0
0.815125	0
0.848999	0
0.870361	0
0.878601	0
0.873413	0
0.854797	0
0.823364	0
0.778809	0
0.722351	0
0.653992	0
0.575256	0
0.487976	0
0.393677	0
0.295105	0
0.194397	0
0.093689	0
-0.00457764	0
-0.0979614	0
-0.184631	0
-0.263062	0
-0.331726	0
-0.390015	0
-0.436707	0
-0.472412	0
-0.496826	0
-0.510559	0
-0.514526	0
-0.510254	0
-0.498962	0
-0.481567	0
-0.4599	0
-0.435181	0
-0.408936	0
-0.38269	0
-0.35675	0
-0.332642	0
-0.310059	0
-0.290222	0
-0.273132	0
-0.259094	0
-0.247803	0
-0.239868	0
-0.234985	0
-0.232544	0
-0.232544	0
-0.23407	0
-0.237427	0
-0.241089	0
-0.245056	0
-0.249023	0
-0.252075	0
-0.254822	0
-0.256958	0
-0.258179	0
-0.258484	0
-0.257874	0
-0.256653	0
-0.254822	0
-0.252991	0
-0.250854	0
-0.248718	0
-0.246582	0
-0.244446	0
-0.24231	0
-0.240479	0
-0.238953	0
-0.237427	0
-0.236511	0
-0.235901	0
-0.235291	0
-0.234985	0
-0.23407	0
-0.233154	0
-0.231934	0
-0.230713	0
-0.228882	0
-0.227051	0
-0.22522	0
-0.223083	0
-0.220947	0
-0.218811	0
-0.216064	0
-0.213013	0
-0.209656	0
-0.205688	0
-0.202026	0
-0.198669	0
-0.195313	0
-0.192566	0
-0.190125	0
-0.188293	0
-0.186462	0
-0.184631	0
-0.182495	0
-0.179749	0
-0.177002	0
-0.174255	0
-0.171204	0
-0.168457	0
-0.16571	0
-0.162659	0
-0.159607	0
-0.15625	0
-0.152588	0
-0.148621	0
-0.144043	0
-0.13916	0
-0.133972	0
-0.128784	0
-0.122986	0
-0.117493	0
-0.111694	0
-0.105896	0
-0.0997925	0
-0.0933838	0
-0.0869751	0
-0.0805664	0
-0.0738525	0
-0.0668335	0
-0.0592041	0
-0.0515747	0
-0.0436401	0
-0.0354004	0
-0.0268555	0
-0.0180054	0
-0.00915527	0
-0.000610352	0
0.00823975	0
0.0167847	0
0.0256348	0
0.0341797	0
0.0430298	0
0.0518799	0
0.0604248	0
0.0692749	0
0.0778198	0
0.0860596	0
0.0939941	0
0.101318	0
0.107727	0
0.113831	0
0.119324	0
0.125427	0
0.131531	0
0.137939	0
0.144043	0
0.150146	0
0.155945	0
0.160828	0
0.165405	0
0.169373	0
0.172729	0
0.176392	0
0.180359	0
0.184021	0
0.187683	0
0.191345	0
0.194702	0
0.197754	0
0.201111	0
0.203857	0
0.206604	0
0.20874	0
0.210571	0
0.212402	0
0.214233	0
0.216064	0
0.218201	0
0.219727	0
0.220947	0
0.221863	0
0.222168	0
0.222168	0
0.221558	0
0.220642	0
0.219421	0
0.217896	0
0.215759	0
0.212708	0
0.209045	0
0.205078	0
0.200806	0
0.195618	0
0.19043	0
0.184326	0
0.177917	0
0.170898	0
0.163574	0
0.155945	0
0.147705	0
0.13916	0
0.13031	0
0.12146	0
0.11261	0
0.104065	0
0.09552	0
0.0869751	0
0.0787354	0
0.0704956	0
0.062561	0
0.0549316	0
0.0469971	0
0.0387573	0
0.0302124	0
0.0213623	0
0.0128174	0
0.00488281	0
-0.00274658	0
-0.00976563	0
-0.0161743	0
-0.022583	0
-0.0289917	0
-0.0357056	0
-0.0421143	0
-0.0488281	0
-0.055542	0
-0.0616455	0
-0.067749	0
-0.0732422	0
-0.0787354	0
-0.0836182	0
-0.0881958	0
-0.0927734	0
-0.0970459	0
-0.101318	0
-0.105286	0
-0.108948	0
-0.11261	0
-0.116577	0
-0.120239	0
-0.123596	0
-0.126343	0
-0.128479	0
-0.130615	0
-0.133057	0
-0.134888	0
-0.136719	0
-0.138245	0
-0.139465	0
-0.140381	0
-0.140991	0
-0.141602	0
-0.142212	0
-0.142822	0
-0.143433	0
-0.144348	0
-0.144958	0
-0.145874	0
-0.147095	0
-0.14801	0
-0.149231	0
-0.150146	0
-0.151062	0
-0.152283	0
-0.153198	0
-0.154724	0
-0.155945	0
-0.157471	0
-0.158691	0
-0.159607	0
-0.160522	0
-0.161133	0
-0.161438	0
-0.161438	0
-0.161438	0
-0.161438	0
-0.161133	0
-0.160522	0
-0.159912	0
-0.158997	0
-0.158081	0
-0.157166	0
-0.15625	0
-0.155029	0
-0.153809	0
-0.152283	0
-0.150452	0
-0.148926	0
-0.147095	0
-0.144958	0
-0.142517	0
-0.139771	0
-0.136719	0
-0.133667	0
-0.13092	0
-0.128784	0
-0.127258	0
-0.125732	0
-0.124207	0
-0.122375	0
-0.120239	0
-0.117493	0
-0.114746	0
-0.112305	0
-0.109863	0
-0.107727	0
-0.106506	0
-0.105286	0
-0.104675	0
-0.104065	0
-0.103455	0
-0.103149	0
-0.102539	0
-0.101929	0
-0.101624	0
-0.101013	0
-0.100708	0
-0.100098	0
-0.0991821	0
-0.0979614	0
-0.0961304	0
-0.0939941	0
-0.0915527	0
-0.0888062	0
-0.0860596	0
-0.0827026	0
-0.0793457	0
-0.0753784	0
-0.0714111	0
-0.0671387	0
-0.0631714	0
-0.0595093	0
-0.055542	0
-0.0518799	0
-0.0485229	0
-0.045166	0
-0.0424194	0
-0.0402832	0
-0.038147	0
-0.0366211	0
-0.0350952	0
-0.0341797	0
-0.0338745	0
-0.0341797	0
-0.0350952	0
-0.0369263	0
-0.0396729	0
-0.0430298	0
-0.0469971	0
-0.0506592	0
-0.0546265	0
-0.0588989	0
-0.0631714	0
-0.0683594	0
-0.0741577	0
-0.0805664	0
-0.0875854	0
-0.0952148	0
-0.10376	0
-0.11261	0
-0.121765	0
-0.131531	0
-0.141602	0
-0.151672	0
-0.162048	0
-0.173035	0
-0.184326	0
-0.196228	0
-0.20813	0
-0.219727	0
-0.231018	0
-0.241394	0
-0.25116	0
-0.26001	0
-0.267944	0
-0.275269	0
-0.281372	0
-0.28717	0
-0.291748	0
-0.295715	0
-0.298767	0
-0.300598	0
-0.302124	0
-0.303345	0
-0.30426	0
-0.305176	0
-0.305481	0
-0.305481	0
-0.305176	0
-0.304565	0
-0.303955	0
-0.303345	0
-0.303345	0
-0.303345	0
-0.30365	0
-0.303955	0
-0.304565	0
-0.304871	0
-0.305176	0
-0.305481	0
-0.305786	0
-0.306396	0
-0.307007	0
-0.307617	0
-0.307922	0
-0.308533	0
-0.308838	0
-0.308838	0
-0.309143	0
-0.309753	0
-0.310974	0
-0.3125	0
-0.314026	0
-0.315552	0
-0.317383	0
-0.319824	0
-0.323792	0
-0.328979	0
-0.335693	0
-0.344238	0
-0.354004	0
-0.364685	0
-0.376282	0
-0.388184	0
-0.400085	0
-0.411682	0
-0.422974	0
-0.43335	0
-0.44342	0
-0.452576	0
-0.461121	0
-0.46814	0
-0.473938	0
-0.4776	0
-0.47821	0
-0.475769	0
-0.469055	0
-0.457458	0
-0.440674	0
-0.418396	0
-0.390625	0
-0.357056	0
-0.318298	0
-0.274353	0
-0.225525	0
-0.170898	0
-0.111084	0
-0.0454712	0
0.0250244	0
0.100098	0
0.178223	0
0.258179	0
0.33844	0
0.41687	0
0.491943	0
0.561829	0
0.624695	0
0.678711	0
0.722046	0
0.754089	0
0.773315	0
0.779419	0
0.7724	0
0.751953	0
0.718689	0
0.673523	0
0.61676	0
0.549316	0
0.472412	0
0.386963	0
0.295105	0
0.19928	0
0.101624	0
0.00427246	0
-0.0900269	0
-0.180054	0
-0.263977	0
-0.339966	0
-0.40741	0
-0.465393	0
-0.51239	0
-0.548401	0
-0.57373	0
-0.588074	0
-0.593262	0
-0.589905	0
-0.579834	0
-0.563965	0
-0.543823	0
-0.52063	0
-0.495911	0
-0.470581	0
-0.445557	0
-0.421448	0
-0.399475	0
-0.379944	0
-0.362854	0
-0.348206	0
-0.336609	0
-0.327759	0
-0.321655	0
-0.317688	0
-0.316162	0
-0.316467	0
-0.318604	0
-0.322266	0
-0.326843	0
-0.331726	0
-0.336914	0
-0.341492	0
-0.345459	0
-0.3479	0
-0.349426	0
-0.349731	0
-0.349426	0
-0.348511	0
-0.34668	0
-0.344543	0
-0.342407	0
-0.339661	0
-0.336609	0
-0.333557	0
-0.3302	0
-0.326538	0
-0.322876	0
-0.319214	0
-0.315857	0
-0.312805	0
-0.310364	0
-0.308228	0
-0.306396	0
-0.304565	0
-0.30304	0
-0.301208	0
-0.299683	0
-0.298157	0
-0.296021	0
-0.293884	0
-0.291443	0
-0.288391	0
-0.285339	0
-0.282288	0
-0.279236	0
-0.276489	0
-0.273743	0
-0.270996	0
-0.267639	0
-0.263977	0
-0.26001	0
-0.255432	0
-0.250854	0
-0.246277	0
-0.241394	0
-0.236816	0
-0.232849	0
-0.228882	0
-0.22522	0
-0.221863	0
-0.218506	0
-0.215149	0
-0.212097	0
-0.208435	0
-0.204468	0
-0.200195	0
-0.195313	0
-0.19043	0
-0.184937	0
-0.179749	0
-0.174561	0
-0.169373	0
-0.16449	0
-0.159607	0
-0.154419	0
-0.149231	0
-0.143738	0
-0.137939	0
-0.131836	0
-0.125732	0
-0.119019	0
-0.11261	0
-0.105896	0
-0.0991821	0
-0.0924683	0
-0.0854492	0
-0.0778198	0
-0.0698853	0
-0.0613403	0
-0.0527954	0
-0.0445557	0
-0.0360107	0
-0.027771	0
-0.0195313	0
-0.0112915	0
-0.00244141	0
0.00671387	0
0.0158691	0
0.0253296	0
0.0350952	0
0.045166	0
0.0549316	0
0.0643921	0
0.0735474	0
0.0820923	0
0.090332	0
0.0979614	0
0.105286	0
0.112	0
0.118408	0
0.123901	0
0.129395	0
0.134583	0
0.139771	0
0.145264	0
0.150452	0
0.15564	0
0.160217	0
0.164185	0
0.167847	0
0.170898	0
0.17395	0
0.176697	0
0.179749	0
0.18219	0
0.184326	0
0.186157	0
0.187073	0
0.187683	0
0.187683	0
0.187378	0
0.186462	0
0.185242	0
0.183411	0
0.181274	0
0.178528	0
0.175476	0
0.171509	0
0.167542	0
0.163269	0
0.158691	0
0.153503	0
0.147705	0
0.141602	0
0.135193	0
0.128479	0
0.121765	0
0.114746	0
0.107422	0
0.0997925	0
0.0918579	0
0.0836182	0
0.0750732	0
0.065918	0
0.0567627	0
0.0473022	0
0.0375366	0
0.027771	0
0.0180054	0
0.0088501	0
-0.000305176	0
-0.00946045	0
-0.0183105	0
-0.0268555	0
-0.0350952	0
-0.0427246	0
-0.0497437	0
-0.0567627	0
-0.0628662	0
-0.0689697	0
-0.0744629	0
-0.0793457	0
-0.0839233	0
-0.0881958	0
-0.0918579	0
-0.09552	0
-0.098877	0
-0.102234	0
-0.105286	0
-0.108337	0
-0.111389	0
-0.114441	0
-0.117493	0
-0.120544	0
-0.123901	0
-0.127563	0
-0.131531	0
-0.135498	0
-0.13916	0
-0.142212	0
-0.144653	0
-0.14679	0
-0.148926	0
-0.151062	0
-0.153503	0
-0.15564	0
-0.157776	0
-0.159607	0
-0.161438	0
-0.162659	0
-0.163574	0
-0.164185	0
-0.16449	0
-0.164795	0
-0.1651	0
-0.166016	0
-0.167542	0
-0.169067	0
-0.170898	0
-0.172729	0
-0.174561	0
-0.176086	0
-0.177307	0
-0.179138	0
-0.180664	0
-0.182495	0
-0.184631	0
-0.186462	0
-0.188599	0
-0.19043	0
-0.192261	0
-0.193787	0
-0.195313	0
-0.196228	0
-0.197449	0
-0.198364	0
-0.199585	0
-0.2005	0
-0.201111	0
-0.201416	0
-0.201721	0
-0.201721	0
-0.201416	0
-0.201111	0
-0.2005	0
-0.19989	0
-0.199585	0
-0.199585	0
-0.19989	0
-0.200195	0
-0.2005	0
-0.200806	0
-0.200806	0
-0.2005	0
-0.200195	0
-0.199585	0
-0.198364	0
-0.197449	0
-0.196228	0
-0.195007	0
-0.193787	0
-0.192566	0
-0.19104	0
-0.189514	0
-0.187988	0
-0.185852	0
-0.183716	0
-0.18158	0
-0.179749	0
-0.178223	0
-0.177002	0
-0.175781	0
-0.175171	0
-0.174255	0
-0.173035	0
-0.171509	0
-0.169678	0
-0.167847	0
-0.166016	0
-0.164185	0
-0.162964	0
-0.162354	0
-0.162048	0
-0.162048	0
-0.162048	0
-0.161743	0
-0.160828	0
-0.158997	0
