ECG	Heart Rate
-0.11261	0
-0.111084	0
-0.109558	0
-0.108337	0
-0.107422	0
-0.107422	0
-0.108337	0
-0.109863	0
-0.111084	0
-0.112305	0
-0.11261	0
-0.112915	0
-0.11322	0
-0.113525	0
-0.114136	0
-0.115051	0
-0.115967	0
-0.116882	0
-0.118103	0
-0.118713	0
-0.118408	0
-0.117188	0
-0.114746	0
-0.112	0
-0.109253	0
-0.106506	0
-0.104065	0
-0.101318	0
-0.0985718	0
-0.09552	0
-0.0927734	0
-0.0897217	0
-0.0869751	0
-0.0845337	0
-0.0827026	0
-0.0820923	0
-0.0820923	0
-0.0827026	0
-0.0836182	0
-0.0842285	0
-0.085144	0
-0.0860596	0
-0.0869751	0
-0.0881958	0
-0.0897217	0
-0.0918579	0
-0.0946045	0
-0.0973511	0
-0.100098	0
-0.102234	0
-0.102844	0
-0.101929	0
-0.100403	0
-0.0982666	0
-0.0961304	0
-0.0946045	0
-0.0927734	0
-0.0909424	0
-0.0888062	0
-0.0860596	0
-0.083313	0
-0.0802612	0
-0.0778198	0
-0.0759888	0
-0.0753784	0
-0.0759888	0
-0.0775146	0
-0.0799561	0
-0.0823975	0
-0.0845337	0
-0.0866699	0
-0.0878906	0
-0.0888062	0
-0.0894165	0
-0.090332	0
-0.0915527	0
-0.0930786	0
-0.0949097	0
-0.0967407	0
-0.0982666	0
-0.0997925	0
-0.100403	0
-0.100708	0
-0.100403	0
-0.0994873	0
-0.0976563	0
-0.0958252	0
-0.093689	0
-0.0924683	0
-0.0912476	0
-0.090332	0
-0.0897217	0
-0.0894165	0
-0.0891113	0
-0.0881958	0
-0.0869751	0
-0.0848389	0
-0.0827026	0
-0.0805664	0
-0.0787354	0
-0.0769043	0
-0.0750732	0
-0.0732422	0
-0.0717163	0
-0.0704956	0
-0.0689697	0
-0.0680542	0
-0.0671387	0
-0.0665283	0
-0.065918	0
-0.065918	0
-0.0656128	0
-0.0653076	0
-0.0653076	0
-0.0656128	0
-0.0665283	0
-0.067749	0
-0.0698853	0
-0.0717163	0
-0.0735474	0
-0.0750732	0
-0.0762939	0
-0.0772095	0
-0.078125	0
-0.0790405	0
-0.0796509	0
-0.0799561	0
-0.0808716	0
-0.0817871	0
-0.083313	0
-0.0854492	0
-0.0878906	0
-0.090332	0
-0.0921631	0
-0.0933838	0
-0.0946045	0
-0.0958252	0
-0.0967407	0
-0.0979614	0
-0.0994873	0
-0.101318	0
-0.102844	0
-0.104065	0
-0.104675	0
-0.10498	0
-0.104675	0
-0.10376	0
-0.102234	0
-0.100708	0
-0.0985718	0
-0.0967407	0
-0.0942993	0
-0.0915527	0
-0.088501	0
-0.0854492	0
-0.0827026	0
-0.0808716	0
-0.0793457	0
-0.0787354	0
-0.0784302	0
-0.0790405	0
-0.0799561	0
-0.0817871	0
-0.0839233	0
-0.0866699	0
-0.0897217	0
-0.0930786	0
-0.0964355	0
-0.0997925	0
-0.102234	0
-0.104065	0
-0.105286	0
-0.105896	0
-0.105896	0
-0.105896	0
-0.105896	0
-0.106506	0
-0.107117	0
-0.107422	0
-0.106812	0
-0.10498	0
-0.101929	0
-0.0985718	0
-0.0949097	0
-0.0909424	0
-0.0869751	0
-0.083313	0
-0.0802612	0
-0.0778198	0
-0.0762939	0
-0.0753784	0
-0.0753784	0
-0.0759888	0
-0.0765991	0
-0.0772095	0
-0.0769043	0
-0.0756836	0
-0.0738525	0
-0.0723267	0
-0.071106	0
-0.0704956	0
-0.0708008	0
-0.0717163	0
-0.0732422	0
-0.0744629	0
-0.0756836	0
-0.0769043	0
